Item,Tipo,pH,CE,MO,Dr,Da,P,K,N,C,H,Na,Pb,Cd,Hg,As,Se,Grasa,ST,Proteína,SNG,Lactosa,P_congelación,Sales,Conductividad
MSB-01,raíz ,,,,,,,,,,,,0.798715793,0.439806755,1.730413965,0.891772173,0.759971792,,,,,,,,
MSB-02,raíz ,,,,,,,,,,,,0.690699955,0.749246066,1.721285842,0.992416521,0.761582619,,,,,,,,
MSB-03,raíz ,,,,,,,,,,,,0.915601691,0.426611163,1.800477692,0.839742945,0.75968462,,,,,,,,
MSB-04,raíz ,,,,,,,,,,,,3.416614839,0.372064241,123.2979366,0.883941388,0.834481631,,,,,,,,
MSB-05,raíz ,,,,,,,,,,,,0.606795185,0.905505009,1.740190532,0.991098653,1.101688625,,,,,,,,
MSB-06,raíz ,,,,,,,,,,,,0.538488544,0.568593342,718.2374163,0.845974018,0.591490385,,,,,,,,
MSB-07,raíz ,,,,,,,,,,,,0.78318091,0.323668791,1.802678223,0.800547539,0.969752249,,,,,,,,
MSB-08,raíz ,,,,,,,,,,,,1.876640294,0.37664549,1.739747619,0.939946402,0.748819367,,,,,,,,
MSB-09,raíz ,,,,,,,,,,,,1.160908883,0.426209276,194.4746664,0.889435467,2.031927809,,,,,,,,
MSB-10,raíz ,,,,,,,,,,,,4.974782426,0.674834812,242.6109731,0.823086115,0.636709576,,,,,,,,
MSB-11,raíz ,,,,,,,,,,,,0.980879501,0.858557472,1.752644284,0.699860273,0.671227553,,,,,,,,
MSB-12,raíz ,,,,,,,,,,,,1.380342353,0.351656993,1.790247022,0.732897934,0.566483312,,,,,,,,
MSB-13,raíz ,,,,,,,,,,,,1.612822276,0.341878997,1.71655336,0.723293796,0.993973973,,,,,,,,
MSB-14,raíz ,,,,,,,,,,,,0.865478902,0.316909059,1.651732843,0.729576858,0.788385139,,,,,,,,
MSB-15,raíz ,,,,,,,,,,,,3.315641867,0.374647714,197.9727383,0.763353236,1.01105775,,,,,,,,
MSB-16,raíz ,,,,,,,,,,,,2.634263137,0.309967118,1.69,0.64662435,1.101979685,,,,,,,,
MSB-01,leche ,6.83,,,1.031333333,,,,,,,,,,,,0.040403,4.043333333,13.02,3.276666667,8.976666667,4.943333333,-0.579666667,0.74,4.456666667
