AT,SR,RH,WV,AP
-0.370254193,-0.54334029,0.049782703,0,-1.103445478
-0.457513454,0.152376155,0.128440094,0,-1.035673307
-0.525348565,0.289625755,0.192317681,0,-0.726403122
-0.600056836,-0.000289811,0.281501176,0,-0.356997066
-0.054088789,-0.37207977,-0.214162951,0,0.059181332
0.693292759,0.384543568,-1.076222002,0,0.209998274
0.713314576,1.838412149,-1.010830385,0,0.309270186
0.83284781,1.253874027,-1.159421479,0,0.185180296
0.958058873,0.345467772,-1.372827416,0,-0.209998274
1.343852387,-0.357651484,-1.757751165,0,-0.884856365
-0.181391683,-1.033077301,-0.33845749,0,-1.6217594
-0.264766114,-0.995471953,-0.280275534,0,-2.038892336
-0.463490116,-0.756765325,-0.475945707,0,-2.173482139
-0.637112139,-0.488050664,-0.477964412,0,-1.952029414
-0.717199406,-0.404168992,-0.478829571,0,-1.643713765
-0.630836644,-0.468316317,-0.52381785,0,-1.200808314
-0.102798582,-0.132299481,-1.006504589,0,-0.81899327
0.145531713,1.274818187,-1.070598467,0,-0.639540199
0.357105538,1.610216502,-1.120128832,0,-0.621403984
0.5238544,1.560602494,-1.208519264,0,-0.864811075
0.809837663,1.077824826,-1.423222939,0,-1.189353863
1.389573849,-0.363478816,-1.821845043,0,-1.770667268
-0.398344503,-1.033077301,0.777525787,0,-2.092346442
-0.653249126,-0.963172666,0.824460673,0,-2.26511775
-0.695683424,-0.792674601,0.776444338,0,-2.303299254
-0.725267899,0.574176909,0.733618957,0,-2.034119648
-0.516981239,1.446673889,0.644507559,0,-1.578805208
-0.481121268,2.518327112,0.624536801,0,-1.165490423
0.444962465,1.335651169,-0.473638616,0,-0.733084885
1.072213112,2.638125839,-1.124382531,0,-0.431451
1.568873701,2.557776355,-1.700145981,0,-0.395178571
2.080475944,1.792450921,-2.246998695,0,-0.645267425
2.139047229,0.149625872,-2.456150933,0,-1.187444788
2.599549014,-0.455198987,-2.616854255,0,-1.855621115
-0.155692038,-1.033077301,0.669669272,0,-2.141982398
-0.056479453,-1.010791066,0.582576579,0,-2.37679865
-0.109671743,-0.707991574,0.733402667,0,-2.372025962
-0.130888892,-0.14377909,0.765846137,0,-2.183027515
-0.141945716,0.947748522,0.737512173,0,-1.820303223
-0.033469306,0.340854144,0.348695208,0,-1.244717044
0.098017252,1.707359436,0.282726818,0,-0.633812973
0.517578905,1.147422145,-0.014311175,0,-0.318815562
1.003481502,0.759694551,-0.567652583,0,-0.298770272
0.9257849,-0.04165297,-0.587334955,0,-0.413314785
1.655535296,0.00705076,-1.485874885,0,-0.845720323
1.555127379,-0.415154562,-1.597913002,0,-1.348761644
0.141945716,-1.033077301,-0.194480579,0,-1.336352655
-0.131486558,-0.996985192,0.366647261,0,-1.651350066
-0.165254696,-0.684409944,0.498007267,0,-1.656122754
-0.169737193,0.322469652,0.199599438,0,-1.615077637
-0.115050738,0.862384732,-0.054036402,0,-1.244717044
-0.256996454,0.957006899,0.191740909,0,-0.621403984
-0.190057843,1.724779189,0.32425446,0,-0.054408644
0.695384591,1.668236959,-0.405723619,0,0.385633195
1.048007632,0.819737848,-0.639965473,0,0.355087991
1.255397794,0.483826044,-0.888698744,0,0.167998619
1.56588537,0.101081635,-1.244351274,0,-0.218589113
1.777160362,-0.42601176,-1.605338952,0,-0.659585489
0.08815576,-1.033077301,-0.433408713,0,-0.64335835
-0.025699645,-1.016513365,-0.293541308,0,-1.085309263
-0.040342467,-0.84762968,-0.22692405,0,-1.332534504
0.135371388,-0.426630281,-0.52381785,0,-1.25426242
0.19364384,-0.270439909,-0.587118665,0,-0.715903208
0.133279556,0.197648839,-0.426487439,0,0.125998965
0.303016749,0.56849351,-0.616822464,0,0.625222135
0.570472361,-0.107169601,-0.657196561,0,0.88676544
0.813722493,0.382493499,-0.9256843,0,0.952628535
1.11942874,0.734755285,-1.241395313,0,0.770311852
1.363874204,-0.132540666,-1.493517125,0,0.272997757
1.257489625,-0.504517349,-1.423583422,0,-0.199498361
0.106982245,-1.033077301,-0.261169935,0,-0.671994478
0.029584476,-0.958282843,-0.678897637,0,-1.006082642
-0.239365302,-0.606336153,-0.561163889,0,-1.170263111
-0.756645373,-0.193964939,-0.013590209,0,-0.944037697
-0.830457146,0.504011639,0.135145077,0,-0.485859644
-0.384299348,0.534151934,-0.09967355,0,0.071590321
0.622469318,-0.024182647,-1.043634339,0,0.7512211
0.688810263,-0.240517458,-0.933687023,0,1.238989819
1.190252181,-0.305979628,-1.562729861,0,0.975537438
1.458305459,-0.5532911,-1.719828353,0,0.664358177
1.406607335,-0.436958429,-1.497842921,0,0.093544686
1.448145134,-0.477808099,-1.614423124,0,-0.521177535
-0.03197514,-1.033077301,0.341341354,0,-0.855265699
-0.103695081,-1.012094241,0.6139386,0,-1.238035281
-0.225021314,-0.796514104,0.794035908,0,-1.321080053
-0.22083765,-0.354850631,0.835924033,0,-1.095809177
-0.223228315,0.164015257,0.832895976,0,-0.756948325
-0.220239984,1.246121109,0.827128248,0,-0.286361283
0.001494165,-0.423739956,0.648544969,0,0.348406228
0.659823454,-0.526671322,-0.511777718,0,0.764584626
0.921601237,-0.413664664,-0.618913266,0,0.79894798
1.601147674,-0.528624139,-1.432235014,0,0.383724119
1.142438887,-0.61091088,-1.07773603,0,0.045817805
1.21923899,-0.49571022,-1.395682038,0,-0.408542097
-1.050398297,-1.033077301,0.181647385,0,-0.217634575
-0.801769169,-0.96857209,0.253455599,0,-0.680585316
-0.590793011,-0.620920041,0.072060552,0,-1.01849163
-0.540290219,0.914422256,0.107171596,0,-1.035673307
-0.542382051,1.580508004,0.262828157,0,-0.762675551
-0.926083733,1.827749455,0.599158797,0,-0.448632677
-0.282994932,1.105599956,0.14675263,0,0.121226277
0.736324724,0.866142544,-0.823955997,0,0.64335835
1.279304441,1.0471477,-1.37167387,0,0.712085057
1.590987349,0.388694277,-1.718746904,0,0.658630951
1.947196387,0.398400012,-2.265960101,0,0.078272084
2.120519577,-0.643299639,-2.409360239,0,-0.364633367
-0.615297324,-1.033077301,0.213009406,0,-0.167998619
-1.08267227,-1.007025474,0.334275888,0,-0.685358004
-1.434099979,-0.803878015,0.377317558,0,-0.885810903
-1.527335902,-0.354150417,0.329157029,0,-0.923037869
-1.167242033,0.089100206,0.289359706,0,-0.361769754
-0.845099967,0.825876385,0.346604406,0,0.15177148
-0.147025878,2.495138379,-0.206448615,0,1.064309436
0.02032065,0.812895207,-0.193254937,0,1.736303914
0.796689007,-0.287700169,-1.247811911,0,1.947256726
1.189056849,0.412244787,-1.519832384,0,1.868030104
2.111853418,0.707135758,-2.391480282,0,1.104400015
2.137553063,-0.463659898,-2.349808447,0,0.457223515
-0.95387521,-1.033065631,-0.049926896,0,0.154635093
-1.200711339,-0.96703162,0.075881672,0,0.019090752
-0.754852375,-0.558659402,-0.010634249,0,-0.106908212
-0.552542376,0.754431281,-0.031974842,0,-0.006681763
-0.426733647,0.720832709,0.016690363,0,0.199498361
-0.380115685,0.400683486,0.063048477,0,0.180407608
0.089948759,1.442453158,-0.136226526,0,0.764584626
0.951484545,0.95128849,-0.924891238,0,1.1903084
1.392263347,0.94190952,-1.38969802,0,1.33444358
1.560805207,1.768476393,-1.685726661,0,1.239944356
2.015927997,0.459369147,-2.198838166,0,0.672949015
2.35032222,-0.668919668,-2.837974528,0,0.061090407
-0.299729585,-1.033077301,0.687693423,0,0.376087819
-0.263869615,-1.018936881,0.623239062,0,0.00381815
-0.254008123,-0.735840616,0.512859167,0,-0.425723774
-0.330808226,0.102163076,0.636360643,0,-0.396133108
-0.300924917,1.397417768,0.607882486,0,-0.143180642
-0.26536378,1.840695622,0.607089423,0,0.19186206
-0.062754948,2.513608452,0.468087178,0,0.762675551
0.435997472,2.777005381,-0.075665382,0,1.268580484
1.242249138,0.530347442,-1.030512757,0,1.375488697
1.817801661,-0.072038341,-1.732517355,0,1.12253623
2.261568794,-0.727391374,-2.056735767,0,0.55935904
2.697267433,-0.829023455,-2.531203494,0,-0.410451173
-0.444364799,-1.033077301,0.029307268,0,-0.194725673
-0.352324208,-1.022294015,-0.019862613,0,-0.848583936
-0.415676822,-0.92775354,0.073935064,0,-0.856220237
-0.440181135,-0.403359857,0.122960752,0,-0.656721876
-0.339474386,0.312083154,0.195922511,0,-0.541222825
-0.349037044,-0.114175625,0.049926896,0,-0.112635438
-0.226814312,-0.283919016,0.345811344,0,0.626176673
0.089351093,0.500724526,0.204790393,0,0.991764577
0.551347043,0.057318299,-0.218488747,0,1.079582038
0.566288698,-0.05368886,-0.118346569,0,1.211308228
0.404022332,-0.718681498,0.175158691,0,1.05476406
0.550151711,-0.825973637,-0.05302705,0,0.611858608
-0.480523602,-1.033077301,0.645949491,0,-0.104999137
-0.531922893,-0.9869099,0.594616711,0,-0.630949361
-0.429124311,-0.666694545,0.505000637,0,-0.796084367
-0.346048713,-0.623191845,0.439320634,0,-0.792266217
-0.316165405,0.789045162,0.523673657,0,-0.694903381
-0.268053278,0.57583408,0.470898945,0,-0.361769754
0.060663116,0.679271155,0.244659813,0,0.156544168
0.265064947,0.497915893,-0.287268904,0,0.556495427
0.998999006,0.029784354,-0.788123987,0,0.682494392
1.386585518,0.114132834,-1.163675178,0,0.397087646
1.362678872,0.251016768,-0.905497252,0,0.079226622
1.502831589,-0.78162679,-1.404838306,0,-0.445769064
-0.051100458,-1.033077301,0.63556758,0,-1.080536575
-0.071421108,-0.997669845,0.614082794,0,-1.712440473
-0.09204059,-0.888004761,0.801245568,0,-1.721985849
-0.149416543,-0.461037988,0.86058107,0,-1.792621633
-0.192448507,0.802438687,0.873918941,0,-1.695258796
-0.251318625,0.483748242,0.885238108,0,-1.408897513
-0.173024357,0.579082292,0.877019095,0,-0.765539164
0.179299852,0.553205518,0.328868643,0,-0.311179261
0.851973128,0.69887324,-0.53081122,0,-0.179453071
1.134071561,0.0269835,-0.780409651,0,-0.349360765
1.322037572,-0.052479047,-0.917753674,0,-0.554586352
1.489981766,-0.459489739,-1.126257043,0,-1.123490768
0.10070675,-1.033077301,0.365926295,0,-0.999400878
0.057375952,-1.025565568,0.466428956,0,-1.571168907
-0.074409438,-0.79943555,0.818692945,0,-1.788803482
-0.161967533,-0.230609438,0.881561181,0,-1.771621805
-0.212769157,0.128226573,0.894538569,0,-1.463306157
-0.176909187,0.299238129,0.893385023,0,-1.008946254
-0.083972097,0.174923025,0.868511696,0,-0.45531444
